title,Author,genre,language,level,pictures
Harry Potter and the Sorcerer's Stone: MinaLima Edition (Harry Potter   Book 1) (1),J.K. Rowling,Sorcerer's   MinaLima,English,512,TRUE
Love You Forever,Robert Munsch,Forever   Love,English,312,TRUE
The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,America's Test Kitchen Kids,Cookbook   Complete,English,560,TRUE
The Office: A Day at Dunder Mifflin Elementary,Robb Pearlman,Elementary   Office:,English,220,TRUE
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike (Unofficial Cookbook),Dinah Bucholz,Knickerbocker   Glory--More,English,693,FALSE
Dr. Seuss's Beginner Book Collection (Cat in the Hat   One Fish Two Fish   Green Eggs and Ham   Hop on Pop   Fox in Socks),Dr. Seuss,Collection   Beginner,English,426,TRUE
I Am Confident   Brave & Beautiful: A Coloring Book for Girls,Hopscotch Girls,Beautiful:   Confident  ,English,6,TRUE
Harry Potter: The Illustrated Collection (Books 1-3 Boxed Set),J.K. Rowling,Illustrated   Collection,English,352,TRUE
What Should Danny Do? (The Power to Choose Series),Adir Levy,Series)   Should,English,156,TRUE
200 Must Know Sight Words Activity Workbook: Learn   Trace & Practice The 200 Most Common High Frequency Words For Kids Learning To Write & Read. | Ages 5-8,Smart Kids Notebooks,Frequency   Workbook:,English,31,TRUE
The Wonky Donkey,Craig Smith,Donkey   Wonky,English,201,TRUE
Paint by Sticker Kids: Unicorns & Magic: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,Workman Publishing,Stickers   Unicorns,English,445,TRUE
Llama Llama I Love You,Anna Dewdney,Llama   Llama,English,0,TRUE
The Outsiders,S. E. Hinton,Outsiders   The,English,576,TRUE
The Ballad of Songbirds and Snakes (A Hunger Games Novel),Suzanne Collins,Songbirds   Ballad,English,612,TRUE
In My Heart: A Book of Feelings (Growing Hearts),Jo Witek,(Growing   Feelings,English,156,TRUE
How to Catch a Unicorn,Adam Wallace,Unicorn   Catch,English,280,TRUE
Potty Time! (Daniel Tiger's Neighborhood) (Daniel Tiger's Neighborhood Interactive Take-Along Children's Sound Book),Cottage Door Press,Neighborhood)   Neighborhood,English,0,TRUE
The Care and Keeping of You: The Body Book for Younger Girls   Revised Edition (American Girl Library),Valorie Schaefer,(American   Library),English,400,TRUE
Joey: The Story of Joe Biden,Dr Jill Biden,Biden   Joey:,English,168,TRUE
Little Leaders: Bold Women in Black History (Vashti Harrison),Vashti Harrison,Harrison)   Leaders:,English,32,TRUE
Chicka Chicka Boom Boom (Board Book),John Archambault,(Board   Chicka,English,39,TRUE
School Zone - Multiplication 0-12 Flash Cards - Ages 8+   3rd Grade   4th Grade   Elementary Math   Multiplication Facts   Common Core   and More,School Zone,Multiplication   Multiplication,English,378,TRUE
The Wonderful Things You Will Be,Emily Winfield Martin,Wonderful   Things,English,162,TRUE
Celebrate Your Body (and Its Changes   Too!): The Ultimate Puberty Book for Girls (Celebrate Your Body   1),Sonya Renee Taylor,(Celebrate   Celebrate,English,38,TRUE
The Giver (1) (Giver Quartet),Lois Lowry,Quartet)   (Giver,English,96,TRUE
Trace Letters: Alphabet Handwriting Practice workbook for kids: Preschool writing Workbook with Sight words for Pre K   Kindergarten and Kids Ages 3-5. ABC print handwriting book,Sujatha Lalgudi,Kindergarten   Handwriting,English,99,TRUE
Goodnight Moon,Margaret Wise Brown,Goodnight   Moon,English,0,TRUE
Where the Wild Things Are,Maurice Sendak,Things   Where,English,324,TRUE
Good Night   Little Blue Truck,Alice Schertle,Little   Night  ,English,268,TRUE
Champ and Major: First Dogs,Joy McCullough,Major:   Champ,English,36,TRUE
Hair Love,Vashti Harrison,Love   Hair,English,24,TRUE
Oh   the Places You'll Go!  ,Dr. Seuss,Go!     Places,English,140,TRUE
There's No Place Like Space: All About Our Solar System (Cat in the Hat's Learning Library),Tish Rabe,Library)   Learning,English,288,TRUE
The Invisible String,Patrice Karst,Invisible   String,English,140,TRUE
World of Eric Carle   Around the Farm 30-Button Sound Book – Great Alternative to Toys for Christmas- PI Kids (Play-A-Sound),Mark Rader,(Play-A-Sound)   Alternative,English,192,TRUE
The Beginner's Bible: Timeless Children's Stories,Zondervan,Children's   Beginner's,English,0,TRUE
This Is How We Do It: One Day in the Lives of Seven Kids from around the World (Easy Reader Books   Children Around the World Books   Preschool Prep Books),Matt Lamothe,Preschool   Children,English,360,TRUE
Giraffes Can't Dance (Board Book),Giles Andreae,Giraffes   (Board,English,164,TRUE
Encyclopedia Prehistorica Dinosaurs : The Definitive Pop-Up,Robert Sabuda,Prehistorica   Encyclopedia,English,220,TRUE
Awesome Science Experiments for Kids: 100+ Fun STEM / STEAM Projects and Why They Work (Awesome STEAM Activities for Kids),Crystal Chatterton,Experiments   Activities,English,455,TRUE
How to Catch a Mermaid,Adam Wallace,Mermaid   Catch,English,92,TRUE
Little Legends: Exceptional Men in Black History,Vashti Harrison,Exceptional   Legends:,English,160,TRUE
Harvey The Heart Had Too Many Farts: A Rhyming Read Aloud Story Book For Kids And Adults About Farting and Friendship   A Valentine's Day Gift For Boys and Girls,Jane Bexley,Valentine's   Friendship  ,English,70,TRUE
Happy Valentine's Day   Mouse! (If You Give...),Laura Numeroff,Valentine's   Give...),English,0,TRUE
Get Up   Stand Up: (Preschool Music Book   Multicultural Books for Kids   Diversity Books for Toddlers   Bob Marley Children's Books),Cedella Marley,Multicultural   (Preschool,English,201,TRUE
The Big Book of Silly Jokes for Kids (Big Book of Silly Jokes for Kids Series),Carole P. Roman,Series)   Silly,English,528,TRUE
The Last Kids on Earth: The Monster Box (books 1-3),Max Brallier,Monster   Earth:,English,528,TRUE
The World Needs Who You Were Made to Be,Joanna Gaines,Needs   World,English,384,TRUE
What Should Danny Do? On Vacation (The Power to Choose Series),Adir Levy,Vacation   Series),English,84,TRUE
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,(Lift-the-Flap)   (Sesame,English,0,TRUE
Sight Word Readers Parent Pack: Learning the First 50 Sight Words s a Snap!,Scholastic,Learning   Readers,English,344,TRUE
What Should Danny Do? School Day (The Power to Choose Series),Adir Levy,Series)   Should,English,24,TRUE
The Chronicles of Narnia Adult Box Set,C. S. Lewis,Chronicles   Narnia,English,73,TRUE
My Big Fat Zombie Goldfish Boxed Set: (My Big Fat Zombie Goldfish; The Seaquel; Fins of Fury),Mo O'Hara,Goldfish;   Goldfish,English,315,TRUE
Super Deluxe Essential Handbook (Pokémon): The Need-to-Know Stats and Facts on Over 800 Characters,Scholastic,Need-to-Know   (Pokémon):,English,504,TRUE
Harry Potter Books 1-7 Special Edition Boxed Set,J.K. Rowling,Edition   Special,English,344,TRUE
Kamala Harris: Rooted in Justice,Nikki Grimes,Justice   Harris:,English,16,TRUE
This Is Your Time,Ruby Bridges,Time   This,English,340,TRUE
The Secret Lake: A children's mystery adventure,Karen Inglis,children's   adventure,English,776,FALSE
A Little SPOT of Emotion Box Set (8 Books: Anger   Anxiety   Peaceful   Happiness   Sadness   Confidence   Love   & Scribble Emotion),Diane Alber,Confidence     Happiness  ,English,2,TRUE
Little Blue Truck's Springtime,Alice Schertle,Springtime   Truck's,English,56,TRUE
The Action Bible: God's Redemptive Story (Action Bible Series),Sergio Cariello,Redemptive   (Action,English,162,TRUE
Where's Spot?,Eric Hill,Where's   Spot?,English,97,TRUE
The Giving Tree,Shel Silverstein,Giving   Tree,English,24,TRUE
Kindergarten Math Workbook: Kindergarten and 1st Grade Workbook Age 5-7 | Homeschool Kindergarteners | Addition and Subtraction Activities + Worksheets (Homeschooling Activity Books),Modern Kid Press,Kindergarteners   (Homeschooling,English,26,TRUE
The Tower of Nero (Trials of Apollo   The Book Five) (Trials of Apollo   5),Rick Riordan,Apollo     (Trials,English,240,TRUE
My First Book of Planets: All About the Solar System for Kids,Bruce Betts PhD,Planets:   System,English,138,TRUE
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,Coloring   Coloring,English,124,TRUE
Love from the Crayons,Drew Daywalt,Crayons   Love,English,50,TRUE
Harry Potter and the Sorcerer's Stone   Book 1,J.K. Rowling,Sorcerer's   Potter,English,352,TRUE
I Am Smart   I Am Blessed   I Can Do Anything!,Alissa Holder,Anything!   Blessed  ,English,117,TRUE
The Try Not to Laugh Challenge - Would Your Rather? - EWW Edition,Crazy Corey,Challenge   Rather?,English,112,TRUE
Kindergarten writing paper with lines for ABC kids: 120 Blank handwriting practice paper with dotted lines,Smith John,Kindergarten   handwriting,English,0,TRUE
Anger Management Workbook for Kids: 50 Fun Activities to Help Children Stay Calm and Make Better Choices When They Feel Mad,Samantha Snowden MA,Activities   Management,English,444,TRUE
Eyes That Kiss in the Corners,Joanna Ho,Corners   Eyes,English,224,TRUE
Baby University Board Book Set: A Science for Toddlers Board Book Set (Science Gifts for Kids) (Baby University Board Book Sets),Chris Ferrie,University   University,English,0,TRUE
The Heroes of Olympus Paperback Boxed Set (10th Anniversary Edition),Rick Riordan,Anniversary   Paperback,English,170,TRUE
Wings of Fire Boxset   Books 1-5 (Wings of Fire),Tui T. Sutherland,Boxset     (Wings,English,520,TRUE
Merriam-Webster's Elementary Dictionary   New Edition   2019 Copyright,Merriam-Webster,Merriam-Webster's   Dictionary  ,English,144,TRUE
Sneezy the Snowman,Maureen Wright,Snowman   Sneezy,English,171,TRUE
Between Mom and Me: A Guided Journal for Mother and Son (Gifts for Mom   Stocking Stuffers for Boys),Katie Clemons,Stuffers   Stocking,English,644,TRUE
Learn to Read: A Magical Sight Words and Phonics Activity Workbook for Beginning Readers Ages 5-7: Reading Made Easy | Preschool   Kindergarten and 1st Grade,Modern Kid Press,Kindergarten   Preschool  ,English,17,TRUE
A Long Walk to Water: Based on a True Story,Linda Sue Park,Water:   Based,English,600,TRUE
The One and Only Ivan,Katherine Applegate,Ivan   Only,English,624,TRUE
My Best Toddler Coloring Book - Fun with Numbers   Letters   Shapes   Colors   Animals: Big Activity Workbook for Toddlers & Kids,Happy Toddlerz,Toddlers   Coloring,English,12,TRUE
The Little House (9 Volumes Set),Laura Ingalls Wilder,Volumes   Little,English,312,TRUE
First Little Readers Parent Pack: Guided Reading Level B: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,Liza Charlesworth,Irresistible   Beginning,English,140,TRUE
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,Underpants   Fetch-22:,English,322,TRUE
Roses Are Pink   Your Feet Really Stink (Gilbert the Opossum),Diane deGroat,Opossum)   (Gilbert,English,208,TRUE
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,Underpants   Creator,English,497,TRUE
How to Draw Anime (Includes Anime   Manga and Chibi) Part 1 Drawing Anime Faces,Joseph Stevenson,(Includes   Drawing,English,14,TRUE
See   Touch   Feel: A First Sensory Book,Roger Priddy,Sensory   Touch  ,English,0,TRUE
School Zone - Get Ready Flash Cards Multiplication & Division 2 Pack - Ages 8 to 9   3rd Grade   4th Grade   Multiplication 0-12   Division 0-12   Elementary Math   and More,School Zone,Multiplication   Multiplication,English,16,TRUE
Number the Stars,Lois Lowry,Number   Stars,English,400,TRUE
Bob Books Set 2-Advancing Beginners,Bobby Lynn Maslen,2-Advancing   Beginners,English,364,TRUE
123 things BIG & JUMBO Coloring Book: 123 Coloring Pages!!   Easy   LARGE   GIANT Simple Picture Coloring Books for Toddlers   Kids Ages 2-4   Early Learning   Preschool and Kindergarten,Salmon Sally,Kindergarten   Toddlers  ,English,0,TRUE
The Rainbow Fish,Marcus Pfister,Rainbow   Fish,English,60,TRUE
The Never Girls Collection #1 (Disney: The Never Girls): Books 1-4,Kiki Thorpe,Collection   (Disney:,English,90,TRUE
The Rabbit Listened,Cori Doerrfeld,Listened   Rabbit,English,279,TRUE
Goodnight   Goodnight Construction Site (Board Book for Toddlers   Children's Board Book),Sherri Duskey Rinker,Construction   Goodnight  ,English,94,TRUE
The 3 Minute Gratitude Journal for Kids: A Journal to Teach Children to Practice Gratitude and Mindfulness,Modern Kid Press,Mindfulness   Gratitude,English,595,TRUE
The World Needs More Purple People,Kristen Bell,People   Purple,English,279,TRUE
Junie B. Jones's First Boxed Set Ever! (Books 1-4),Barbara Park,Jones's   (Books,English,12,TRUE
The One and Only Bob (One and Only Ivan),Katherine Applegate,Ivan)   Only,English,312,TRUE
I've Loved You Since Forever,Hoda Kotb,Forever   Loved,English,308,TRUE
A Is for Awesome!: 23 Iconic Women Who Changed the World,Eva Chen,Awesome!:   Changed,English,97,TRUE
How to Catch a Dinosaur,Adam Wallace,Dinosaur   Catch,English,4,TRUE
God Gave Us You,Lisa Tawn Bergren,Gave   God,English,108,TRUE
The 7 Habits of Highly Effective Teens,Sean Covey,Effective   Habits,English,312,TRUE
Harry Potter Hardcover Boxed Set: Books 1-7,J. K. Rowling,Hardcover   Potter,English,528,TRUE
Scissor Skills Preschool Workbook for Kids: A Fun Cutting Practice Activity Book for Toddlers and Kids ages 3-5: Scissor Practice for Preschool ... 40 Pages of Fun Animals   Shapes and Patterns,Modern Kid Press,Preschool   Preschool,English,78,TRUE
C Is for Country,Lil Nas X,Country   for,English,78,TRUE
First Little Readers Parent Pack: Guided Reading Level C: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,Liza Charlesworth,Irresistible   Beginning,English,240,TRUE
The Day the Crayons Quit,Drew Daywalt,Crayons   Quit,English,198,TRUE
The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,Storybook   Whispers,English,356,TRUE
The Pout-Pout Fish,Deborah Diesen,Pout-Pout   Fish,English,0,TRUE
Guy Stuff: The Body Book for Boys,Cara Natterson,Stuff:   Body,English,423,TRUE
Elephant & Piggie: The Complete Collection (An Elephant & Piggie Book) (An Elephant and Piggie Book),Mo Willems,Collection   Elephant,English,388,TRUE
The Care and Keeping of You 2: The Body Book for Older Girls,Cara Natterson,Keeping   Older,English,500,TRUE
Moo Baa La La La,Sandra Boynton,Baa   Moo,English,0,TRUE
What Should Darla Do? Featuring the Power to Choose,Adir Levy,Featuring   Should,English,192,TRUE
Dear Girl  : A Celebration of Wonderful   Smart   Beautiful You!,Amy Krouse Rosenthal,Celebration   Wonderful  ,English,320,TRUE
Love from The Very Hungry Caterpillar (The World of Eric Carle),Eric Carle,Caterpillar   Hungry,English,171,TRUE
My Encyclopedia of Very Important Things: For Little Learners Who Want to Know Everything (My Very Important Encyclopedias),DK,Encyclopedias)   Encyclopedia,English,360,TRUE
First 100 Words,Roger Priddy,Words   First,English,8,TRUE
Magic Tree House Boxed Set   Books 5-8: Night of the Ninjas   Afternoon on the Amazon   Sunset of the Sabertooth   and Midnight on the Moon,Mary Pope Osborne,Sabertooth     Afternoon,English,210,TRUE
Mrs. Peanuckle's Bird Alphabet (Mrs. Peanuckle's Alphabet),Mrs. Peanuckle,Peanuckle's   Peanuckle's,English,0,TRUE
Black Heroes: A Black History Book for Kids: 51 Inspiring People from Ancient Africa to Modern-Day U.S.A.,Arlisha Norwood,Modern-Day   Inspiring,English,696,FALSE
Wonder,R. J. Palacio,Wonder,English,104,TRUE
Paint by Sticker Kids: Under the Sea: Create 10 Pictures One Sticker at a Time!,Workman Publishing,Pictures   Sticker,English,255,TRUE
The Book Thief,Markus Zusak,Thief   Book,English,1008,FALSE
Marvel - Spider-man Me Reader Electronic Reader and 8 Sound Book Library – Great Alternative to Toys for Christmas - PI Kids,Jennifer H Keast,Alternative   Spider-man,English,201,TRUE
The Gruffalo,Julia Donaldson,Gruffalo   The,English,141,TRUE
Press Here,Herve Tullet,Press   Here,English,237,TRUE
The Girl Who Drank the Moon (Winner of the 2017 Newbery Medal),Kelly Barnhill,Newbery   (Winner,English,710,FALSE
I Promise,LeBron James,Promise   I,English,344,TRUE
Happy Birthday to You!,Dr. Seuss,Birthday   Happy,English,435,TRUE
The Hunger Games Trilogy: The Hunger Games / Catching Fire / Mockingjay,Suzanne Collins,Mockingjay   Trilogy:,English,240,TRUE
World of Eric Carle   Hear Bear Roar 30 Animal Sound Book – Great Alternative to Toys for Christmas - PI Kids (Play-A-Sound),Eric Carle,(Play-A-Sound)   Alternative,English,36,TRUE
The Going-To-Bed Book,Sandra Boynton,Going-To-Bed   Book,English,182,TRUE
If You Give a Mouse a Cookie,Laura Numeroff,Cookie   Mouse,English,104,TRUE
School Zone - Alphabet Flash Cards - Ages 3 and Up   Preschool   Letter-Picture Recognition   Word-Picture Recognition   Alphabet   and More,School Zone,Letter-Picture   Recognition  ,English,72,TRUE
Ninja Life Hacks Emotions and Feelings 8 Book Box Set (Books 1-8: Angry   Inventor   Positive   Lazy   Helpful   Earth   Grumpy   Kind),Mary Nhin,Positive     Inventor  ,English,23,TRUE
Never Let a Unicorn Scribble!,Diane Alber,Scribble!   Unicorn,English,24,TRUE
Anne Frank: The Diary of a Young Girl,Anne Frank,Frank:   Diary,English,80,TRUE
Canvas One Line a Day: A Five-Year Memory Book (Yearly Memory Journal and Diary   Natural Canvas Cover),Chronicle Books,Five-Year   (Yearly,English,70,TRUE
Wings of Fire Box Set   The Jade Mountain Prophecy (Books 6-10),Scholastic,Prophecy   Mountain,English,264,TRUE
The Baby-Sitters Club Graphic Novels #1-7: A Graphix Collection: Full-Color Edition (The Baby-Sitters Club Graphix),Gale Galligan,Baby-Sitters   Baby-Sitters,English,272,TRUE
Amelia Bedelia Chapter Book 4-Book Box Set: Books 1-4,Herman Parish,Chapter   Bedelia,English,30,TRUE
Carson Dellosa Colors and Shapes Flash Cards—Double-Sided   Essential Shapes   Basic Colors   Names With Illustrations   Early Math and Reading Comprehension Practice Set (54 pc),Brighter Child,Cards—Double-Sided     Illustrations  ,English,56,TRUE
How to Draw 101 Animals (1),Dan Green,Animals   Draw,English,115,TRUE
Humble Math - 100 Days of Timed Tests: Multiplication: Grades 3-5   Math Drills   Digits 0-12   Reproducible Practice Problems,Humble Math,Multiplication:   Reproducible,English,385,TRUE
When God Made You,Matthew Paul Turner,Made   When,English,3,TRUE
School Zone - Go Fish Alphabet Game Cards - Ages 4 and Up   Preschool to First Grade   Uppercase and Lowercase Letters   ABCs   Word-Picture Recognition   Animals   Card Game   Matching   and More,School Zone,Recognition     Word-Picture,English,184,TRUE
My Magical Words (The Magic of Me Series),Becky Cummings,Series)   Magical,English,39,TRUE
The Boxcar Children Books 1-4 ( Cover may Vary ),Gertrude Chandler Warner,Children   Boxcar,English,595,TRUE
Wish,Barbara O'Connor,Wish,English,108,TRUE
Trapped in a Video Game (Volume 1),Dustin Brady,(Volume   Trapped,English,528,TRUE
I Am Enough,Grace Byers,Enough   Am,English,208,TRUE
Holes (Holes Series),Louis Sachar,Series)   (Holes,English,200,TRUE
A Birthday for Cow! (board book) (The Giggle Gang),Jan Thomas,Birthday   (board,English,0,TRUE
I Am a Big Brother,Caroline Jayne Church,Brother   Big,English,76,TRUE
I am Martin Luther King   Jr. (Ordinary People Change the World),Brad Meltzer,(Ordinary   Martin,English,360,TRUE
Little Blue Truck board book,Alice Schertle,Little   Truck,English,0,TRUE
Dragons Love Tacos,Adam Rubin,Dragons   Tacos,English,51,TRUE
365 Bible Stories and Prayers: Biblical Readings to Share All Through the Year,Cottage Door Press,Readings   Prayers:,English,78,TRUE
Human Body Activity Book for Kids: Hands-On Fun for Grades K-3,Ph.D.   Katie Stokes   M.Ed.  ,Hands-On   Activity,English,60,TRUE
Pete the Cat's Super Cool Reading Collection: 5 I Can Read Favorites! (My First I Can Read),James Dean,Collection:   Favorites!,English,172,TRUE
Corduroy,Don Freeman,Corduroy,English,77,TRUE
The Bible Made Easy - for Kids,Dave Strehler,Bible   Made,English,108,TRUE
Skin Like Mine (2) (Kids Like Mine),LaTashia M. Perry,Mine)   (Kids,English,25,TRUE
The Bad Guys Box Set: Books 1-5,Aaron Blabey,Books   Guys,English,616,TRUE
Pete the Cat: Valentine's Day Is Cool,James Dean,Valentine's   Pete,English,316,TRUE
Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter   Book 1),J.K. Rowling,Illustrated   Sorcerer's,English,144,TRUE
I Am a Big Sister,Caroline Jayne Church,Sister   Big,English,60,TRUE
Me and My Feelings: A Kids' Guide to Understanding and Expressing Themselves,NBCT Vanessa Green Allen   M.Ed.,Understanding   Expressing,English,336,TRUE
ABC for Me: ABC What Can She Be?: Girls can be anything they want to be   from A to Z,Sugar Snap Studio,anything   Girls,English,120,TRUE
Refugee,Alan Gratz,Refugee,English,819,FALSE
Where the Sidewalk Ends: Poems and Drawings,Shel Silverstein,Drawings   Sidewalk,English,78,TRUE
The Book with No Pictures,B. J. Novak,Pictures   Book,English,350,TRUE
Preschool Math Workbook for Toddlers Ages 2-4: Beginner Math Preschool Learning Book with Number Tracing and Matching Activities for 2   3 and 4 year olds and kindergarten prep,Modern Kid Press,kindergarten   Activities,English,85,TRUE
On the Night You Were Born,Nancy Tillman,Night   Were,English,5,TRUE
Pax,Sara Pennypacker,Pax,English,472,TRUE
New Kid,Jerry Craft,Kid   New,English,752,FALSE
Peek-a Who? (Lift the Flap Books   Interactive Books for Kids   Interactive Read Aloud Books),Nina Laden,Interactive   Interactive,English,0,TRUE
Where the Wild Things Are,Maurice Sendak,Things   Where,English,104,TRUE
The Snowy Day,Ezra Jack Keats,Snowy   The,English,144,TRUE
I Survived: Ten Thrilling Books (Boxed Set),Lauren Tarshis,Thrilling   Survived:,English,651,FALSE
Scholastic First Little Readers Parent Pack: Guided Reading Levels E & F,Liza Charlesworth,Scholastic   Readers,English,245,TRUE
Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2),Dav Pilkey,Underpants   Unleashed:,English,525,TRUE
Oh Say Can You Say Di-no-saur?: All About Dinosaurs (Cat in the Hat's Learning Library),Bonnie Worth,Di-no-saur?:   Dinosaurs,English,264,TRUE
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,Wrecking   (Diary,English,0,TRUE
Baby Signs: A Baby-Sized Introduction to Speaking with Sign Language,Joy Allen,Introduction   Baby-Sized,English,0,TRUE
The Bad Guys in The One?! (The Bad Guys #12) (12),Aaron Blabey,One?!   Guys,English,322,TRUE
Dog Man: The Epic Collection: From the Creator of Captain Underpants (Dog Man #1-3 Boxed Set),Dav Pilkey,Collection:   Underpants,English,630,TRUE
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,Underpants   Kitties:,English,0,TRUE
All the Things: How to Draw Books for Kids,Alli Koch,Things:   Books,English,490,TRUE
Logan Likes Mary Anne! (The Baby-Sitters Club Graphic Novel #8) (8) (The Baby-Sitters Club Graphic Novels),Ann M. Martin,Baby-Sitters   Baby-Sitters,English,616,TRUE
First 100 Board Book Box Set (3 books),Roger Priddy,books)   First,English,77,TRUE
The Shadow and Bone Trilogy Boxed Set: Shadow and Bone   Siege and Storm   Ruin and Rising,Leigh Bardugo,Trilogy   Shadow,English,360,TRUE
The Quickest Kid in Clarksville,Pat Zietlow Miller,Clarksville   Quickest,English,70,TRUE
Hardy Boys Starter Set - Books 1-5 (The Hardy Boys),Franklin W. Dixon,Starter   Hardy,English,304,TRUE
Bob Books Sight Words: Kindergarten,Lynn Maslen Kertell,Kindergarten   Words:,English,12,TRUE
First Little Readers Parent Pack: Guided Reading Level D: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,Liza Charlesworth,Irresistible   Beginning,English,148,TRUE
Keeper of the Lost Cities Collection Books 1-5: Keeper of the Lost Cities; Exile; Everblaze; Neverseen; Lodestar,Shannon Messenger,Neverseen;   Collection,English,24,TRUE
Esperanza Rising (Scholastic Gold),Pam Muñoz Ryan,(Scholastic   Esperanza,English,112,TRUE
Cursive Handwriting Workbook For Kids: Cursive for beginners workbook. Cursive letter tracing book. Cursive writing practice book to learn writing in cursive (Beginning Cursive Handwriting Workbooks),Sujatha Lalgudi,Handwriting   Handwriting,English,160,TRUE
Everything You Need to Ace Math in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks),Workman Publishing,Notebooks)   Everything,English,1001,FALSE
Harry Potter and the Chamber of Secrets   Book 2,J.K. Rowling,Secrets     Chamber,English,549,TRUE
An Elephant & Piggie Biggie! (An Elephant and Piggie Book),Mo Willems,Elephant   Elephant,English,54,TRUE
School Zone - Sight Words Flash Cards - Ages 5 and Up   Kindergarten to 1st Grade   Phonics   Beginning Reading   Sight Reading   Early-Reading Words   and More,School Zone,Early-Reading   Kindergarten,English,55,TRUE
Green Eggs and Ham,Dr.Seuss,Green   Eggs,English,147,TRUE
Who Is Kamala Harris? (Who HQ NOW),Kirsten Anderson,Harris?   Kamala,English,328,TRUE
Dog Man: From the Creator of Captain Underpants (Dog Man #1),Dav Pilkey,Underpants   Creator,English,196,TRUE
Warriors Box Set: Volumes 1 to 6: The Complete First Series (Warriors: The Prophecies Begin),Erin Hunter,Prophecies   (Warriors:,English,608,TRUE
